Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],TWF,HDF,PWF,OSF,RNF,Temperature Difference,Machine Power,Wear Rate,Heat Index,Mechanical Stress,Temperature Ratio,RPM per Torque
2,0.9989135886031064,0.6042816241171917,-0.460607413938203,0.7183047640697756,-0.8439972598086245,0,0,0,0,0,-0.39463196448591475,-0.33085649979767034,-1.5647179468498102,0.6036251256738174,-0.6062472525823711,0.604938836563658,-0.2680592078714035
2,-1.5051940762914926,-1.1532598401403102,-0.7755739070376335,0.6384558330577823,0.382263078555401,0,0,0,0,1,0.35193423615118236,-0.4951696849155913,1.7032915981810628,1.7358798798040687,0.24405809226632103,0.7661868049479172,-0.47335661504540655
2,0.4980920556241866,1.0774658644942483,-1.0076544809003718,0.5586069020457898,0.4608695105018128,0,0,0,0,0,0.5793738088700617,-0.5628827479083152,-60.209113655169915,0.5366771873108315,0.2574448895087772,2.163186206903092,-0.646509700154509
1,-0.5536331636315563,-0.1392936107609688,-0.7092651716482797,1.6265863543311931,-0.3723586681301531,0,0,0,0,0,0.41433955287058755,-1.1536810498054633,-1.2807501262961427,0.07711756239925775,-0.6056735284974444,0.2515991091416426,-0.27003306800810656
1,-1.4551119229935894,-1.018064342889739,1.0700192279660468,-1.1282017655825582,-0.906882405365754,0,0,0,0,0,0.4370475801038505,-1.2071975821985799,-0.43810337271931327,1.4813975637134928,1.023146330909401,0.6996467603641676,-8.34636889050475
0,-0.8541260834188912,-0.7476733483885967,0.9208245733400008,-0.818787157911086,-1.5671764337156138,0,0,0,0,0,0.10645273503029451,-0.7539593353397477,-0.815887330611639,0.6386073087358403,1.283183938107239,0.8753664861700674,5.081453183589431
2,0.347845595730505,0.6718793727424964,-1.5270729081169765,1.2273416992712292,-0.0579329403445056,0,0,0,0,0,0.32403377701199143,-1.8742402579593476,0.10991447189246956,0.2337102806706517,-0.07110351344620425,1.9315448606773165,-0.6856033398991381
0,-1.2047011565041297,-0.6800755997632919,-0.6982137157500541,0.0196266177148385,-0.8911611189764717,0,0,0,0,0,0.5246255567408378,-0.013703573682283225,-2.952954343804415,0.8192878615450774,-0.01749047860447892,0.5645180932147305,-0.6847739198049508
2,1.950474501263043,2.159029842498856,0.3793032343269449,0.0595510832208348,-0.450965100076565,0,0,0,0,0,0.20855534123581299,0.0225879184733357,-0.32695138302682314,4.211132655259982,-0.026855460204351617,1.106925438451393,0.3579848488040188
0,-1.354947616397811,-0.9504665942644344,-0.5987506126660234,0.199286712491822,0.0206734916019062,0,0,0,0,0,0.40448102213337656,-0.11932304120067608,0.051522799173021015,1.2878324463643407,0.004119952177071178,0.7014784798775413,-0.49925560454344337
1,-0.5536331636315563,0.063499635114907,-0.4053501344470748,0.2491922943743175,1.2469338299659318,0,0,0,0,0,0.6171327987464633,-0.10101013002780464,2.096921065989801,-0.035155503878115425,0.31072630202216567,-0.11469622718838082,-0.32448978133514855
1,-1.0544546966104762,-0.9504665942644344,0.8379386541033086,-1.0383717181940662,0.1307224963268829,0,0,0,0,0,0.10398810234604183,-0.8700918000024758,0.07112451551907734,1.0022239642934967,-0.1357385431175629,0.9013821051958804,-21.837402481312093
1,-0.4033867037378747,0.4690861268666205,0.0035537337872734,-0.3696369209686269,1.0582783932945432,0,0,0,0,0,0.8724728306044952,-0.0013135912150699168,1.054530871307455,-0.18922310648589255,-0.3911787668250205,-1.1628695802810547,0.005637598243752044
1,-0.8040439301210163,-1.085662091515044,-0.1345894649405469,0.0096455013383393,1.1211635388516727,0,0,0,0,0,-0.2816181613940276,-0.0012981828642104156,1.2955279528399197,0.8729200148451584,0.010814184414491034,1.350252207428071,-0.13330368407737306
2,0.1975991358368233,-0.1392936107609688,-0.6540078921571515,0.7183047640697756,-1.6929467248298729,0,0,0,0,0,-0.3368927465977921,-0.46977698467571394,-4.893021217694417,-0.027524297113958263,-1.2160516977616211,-0.704930262832713,-0.38061227893481764
1,-0.6537974702273347,-0.0716958621357025,0.4290347858689602,-0.6990137613930969,1.4984744121944498,0,0,0,0,0,0.5821016080916321,-0.29990121943874376,1.0485919776146422,0.04687457329009005,-1.0474542352193523,0.10966066006767024,1.4254299062133944
1,-1.1546190032062544,-0.8828688456391679,-1.6044330994045557,2.035812125767656,0.5551972288375071,0,0,0,0,0,0.27175015756708654,-3.266324358750777,-0.9185420675744722,1.0193771465137524,1.130277250659997,0.7646408409938992,-0.5285021051817718
1,-0.5536331636315563,-0.0040981135103977,0.136171204565981,-0.6191648303811045,1.1840486844088025,0,0,0,0,0,0.5495350501211587,-0.08431242077788631,1.0421393181330543,0.002268851547682702,-0.7331213028449461,0.007402218254983367,0.3575594257805772
1,-0.9542903900146694,-0.8828688456391679,0.1582741163624323,-0.7089948777695962,-1.535733860937049,0,0,0,0,0,0.07142154437550152,-0.11221553778447355,-1.3258811875724474,0.8425132550368025,1.0888274410216932,0.9251574309844998,0.5438877334850434
1,2.0506388078588493,2.159029842498856,-0.582173428818685,1.0077571389882494,-1.0169314100907303,0,0,0,0,0,0.10839103464000654,-0.5866894290212972,-2.433860075522662,4.427390382353533,-1.0248198883803206,1.0528572044109425,-0.2899620763455755
1,1.2493243550925663,0.7394771213678013,0.1748513002097707,-0.5792403648751074,1.467031839415885,0,0,0,0,0,-0.509847233724765,-0.10128093093239453,1.2486957618840318,0.9238467777585357,-0.8497640579466572,0.5919016293514995,0.4155610130184427
0,-0.4033867037378747,-0.815271097013863,2.0370216190607895,-1.8668043774434917,-0.0579329403445056,0,0,0,0,0,-0.4118843932759883,-3.802720875409711,-0.01907557719737984,0.32886952047718326,0.10814946663329572,2.021065864242356,-2.350036146643233
1,-0.2030580905462897,0.1310973837401734,-0.3942986785488492,0.798153695081768,-1.5514551473263314,0,0,0,0,0,0.3341554742864631,-0.31471094724962223,-2.56141945275821,-0.02662038441789382,-1.2382996585921402,-0.645615170454329,-0.21927974211955176
0,0.4980920556241866,1.483052356245962,-0.2782583916174801,0.029607734091337,0.1464437827161653,0,0,0,0,0,0.9849603006217755,-0.008238600467693468,0.20290333966522647,0.7386965967208448,0.0043358685779897555,2.9774663930093554,-0.2702567030181182
1,-0.4534688570357496,0.3338906296160494,-0.8308311865287616,2.1356232895326475,-0.6867843959158006,0,0,0,0,0,0.787359486651799,-1.7743424316208665,-4.059757716705662,-0.1514090021869367,-1.4667127508053943,-0.7363033302852082,-0.2649652428919782
